30 400
-8 -22 -26
-12 14 28
-15 14 -28
-10 -14 16
-14 -16 23
-12 -16 -23
-11 14 15
-2 14 -15
-14 -11 20
-10 -11 -20
11 1 12
17 14 26
1 14 -26
14 -17 28
1 -17 -28
27 15 28
24 15 -28
-12 24 -27
-14 -12 -24
1 -12 -15
12 -4 14
1 -4 -14
-12 -4 14
17 -11 27
-27 -11 29
16 -11 -29
16 -4 28
-17 -4 -28
-16 -14 26
-11 -14 -26
22 2 6
-21 -4 7
16 -10 -18
-27 -14 28
22 11 -25
-23 -28 3
28 30 8
-17 19 15
5 19 28
-19 14 14
10 -10 9
-5 -14 -25
-26 -26 15
-14 -2 24
-11 22 -28
1 -14 7
-30 -18 -10
20 -19 13
3 -6 -5
-23 -9 -14
-7 7 23
22 12 -10
12 1 25
4 -22 29
-29 -9 -6
-11 -19 -17
-20 13 3
2 24 -25
-2 2 -17
-11 14 -22
